venue_region,season,bowler,balls,runs_conceded,wickets,dot_balls,innings_bowled,overs,economy,bowling_strike_rate,dot_ball_pct,runs_per_wicket
India,2008,MS Gony,360,456,18,154,16,60.0,7.6,20.0,42.78,25.33
India,2008,Mohammad Asif,192,307,9,64,8,32.0,9.59,21.33,33.33,34.11
India,2008,Mohammad Hafeez,60,71,2,22,4,10.0,7.1,30.0,36.67,35.5
India,2008,P Amarnath,132,241,7,29,6,22.0,10.95,18.86,21.97,34.43
India,2008,P Kumar,268,376,12,109,13,44.67,8.42,22.33,40.67,31.33
India,2008,PJ Sangwan,144,221,7,47,7,24.0,9.21,20.57,32.64,31.57
India,2008,PM Sarvesh Kumar,30,42,1,11,2,5.0,8.4,30.0,36.67,42.0
India,2008,PP Chawla,281,396,19,110,15,46.83,8.46,14.79,39.15,20.84
India,2008,PP Ojha,222,299,11,70,12,37.0,8.08,20.18,31.53,27.18
India,2008,Pankaj Singh,72,129,0,18,5,12.0,10.75,0.0,25.0,0.0
India,2008,R Bhatia,132,185,9,48,9,22.0,8.41,14.67,36.36,20.56
India,2008,R Vinay Kumar,138,183,7,59,8,23.0,7.96,19.71,42.75,26.14
India,2008,RA Jadeja,13,21,1,6,2,2.17,9.68,13.0,46.15,21.0
India,2008,RG Sharma,24,26,1,6,1,4.0,6.5,24.0,25.0,26.0
India,2008,RP Singh,308,459,17,122,14,51.33,8.94,18.12,39.61,27.0
India,2008,RR Powar,72,93,3,30,5,12.0,7.75,24.0,41.67,31.0
India,2008,RR Raje,98,142,6,28,6,16.33,8.7,16.33,28.57,23.67
India,2008,S Sreesanth,307,451,19,132,15,51.17,8.81,16.16,43.0,23.74
India,2008,S Vidyut,12,22,1,5,1,2.0,11.0,12.0,41.67,22.0
India,2008,SB Bangar,150,221,6,55,9,25.0,8.84,25.0,36.67,36.83
India,2008,SB Joshi,55,82,1,18,4,9.17,8.94,55.0,32.73,82.0
India,2008,SB Styris,162,201,4,61,8,27.0,7.44,40.5,37.65,50.25
India,2008,SC Ganguly,120,132,7,46,7,20.0,6.6,17.14,38.33,18.86
India,2008,SD Chitnis,36,62,2,9,2,6.0,10.33,18.0,25.0,31.0
India,2008,SK Raina,20,30,2,4,2,3.33,9.01,10.0,20.0,15.0
India,2008,SK Trivedi,288,407,15,102,15,48.0,8.48,19.2,35.42,27.13
India,2008,SK Warne,312,409,20,107,15,52.0,7.87,15.6,34.29,20.45
India,2008,SM Pollock,276,307,13,130,13,46.0,6.67,21.23,47.1,23.62
India,2008,SR Watson,325,395,20,158,15,54.17,7.29,16.25,48.62,19.75
India,2008,ST Jayasuriya,126,163,5,36,8,21.0,7.76,25.2,28.57,32.6
India,2008,Shahid Afridi,180,237,9,57,10,30.0,7.9,20.0,31.67,26.33
India,2008,Shoaib Akhtar,42,54,5,23,3,7.0,7.71,8.4,54.76,10.8
India,2008,Shoaib Malik,51,87,2,15,5,8.5,10.24,25.5,29.41,43.5
India,2008,Sohail Tanvir,247,275,24,121,11,41.17,6.68,10.29,48.99,11.46
India,2008,TM Dilshan,6,3,1,3,1,1.0,3.0,6.0,50.0,3.0
India,2008,Umar Gul,135,198,14,51,6,22.5,8.8,9.64,37.78,14.14
India,2008,V Kohli,46,62,2,7,4,7.67,8.08,23.0,15.22,31.0
India,2008,V Sehwag,66,134,3,18,7,11.0,12.18,22.0,27.27,44.67
India,2008,VRV Singh,288,425,15,94,13,48.0,8.85,19.2,32.64,28.33
India,2008,VS Yeligati,30,61,0,6,2,5.0,12.2,0.0,20.0,0.0
India,2008,VY Mahesh,253,380,17,94,11,42.17,9.01,14.88,37.15,22.35
India,2008,WA Mota,18,36,1,3,2,3.0,12.0,18.0,16.67,36.0
India,2008,WPUJC Vaas,102,146,6,41,5,17.0,8.59,17.0,40.2,24.33
India,2008,Y Venugopal Rao,84,137,3,22,7,14.0,9.79,28.0,26.19,45.67
India,2008,YK Pathan,169,233,10,59,13,28.17,8.27,16.9,34.91,23.3
