batter,balls_faced,runs,fours,sixes,boundaries,dot_balls,strike_rate,dot_ball_pct,boundary_runs,boundary_run_pct
SD Hope,125,183,12,12,24,48,146.4,38.4,120,65.57
Sikandar Raza,143,182,12,8,20,59,127.27,41.26,96,52.75
AC Voges,143,181,15,3,18,44,126.57,30.77,78,43.09
JD Unadkat,147,181,15,7,22,58,123.13,39.46,102,56.35
C Munro,144,177,19,8,27,68,122.92,47.22,124,70.06
Sameer Rizvi,126,172,15,9,24,50,136.51,39.68,114,66.28
DH Yagnik,142,170,23,2,25,62,119.72,43.66,104,61.18
CR Brathwaite,109,170,8,16,24,47,155.96,43.12,128,75.29
R Dhawan,148,168,13,7,20,67,113.51,45.27,94,55.95
PA Reddy,167,164,15,2,17,72,98.2,43.11,72,43.9
MG Johnson,160,163,10,7,17,74,101.88,46.25,82,50.31
MN Samuels,170,160,9,7,16,83,94.12,48.82,78,48.75
R McLaren,178,159,14,1,15,76,89.33,42.7,62,38.99
MF Maharoof,103,156,12,9,21,37,151.46,35.92,102,65.38
K Rabada,162,155,11,7,18,82,95.68,50.62,86,55.48
DW Steyn,142,154,14,3,17,62,108.45,43.66,74,48.05
JC Archer,117,149,9,8,17,45,127.35,38.46,84,56.38
D Wiese,105,148,12,7,19,34,140.95,32.38,90,60.81
AD Hales,119,148,13,6,19,48,124.37,40.34,88,59.46
SM Pollock,116,147,12,8,20,47,126.72,40.52,96,65.31
S Vidyut,115,145,21,3,24,55,126.09,47.83,102,70.34
S Gopal,131,143,16,2,18,55,109.16,41.98,76,53.15
M Jansen,136,141,8,6,14,57,103.68,41.91,68,48.23
N Saini,143,140,16,0,16,68,97.9,47.55,64,45.71
Sachin Baby,106,137,11,5,16,40,129.25,37.74,74,54.01
S Anirudha,121,136,9,7,16,54,112.4,44.63,78,57.35
YV Takawale,122,134,16,3,19,63,109.84,51.64,82,61.19
N Jagadeesan,124,129,17,2,19,61,104.03,49.19,80,62.02
CM Gautam,124,129,11,6,17,68,104.03,54.84,80,62.02
UT Khawaja,105,127,14,3,17,43,120.95,40.95,74,58.27
P Dogra,141,127,4,5,9,63,90.07,44.68,46,36.22
RD Chahar,121,127,13,5,18,66,104.96,54.55,82,64.57
SS Prabhudessai,113,126,11,4,15,56,111.5,49.56,68,53.97
MC Juneja,134,125,11,1,12,54,93.28,40.3,50,40.0
BB Samantray,116,125,13,2,15,48,107.76,41.38,64,51.2
MM Sharma,140,125,9,4,13,71,89.29,50.71,60,48.0
Harpreet Singh,119,123,10,3,13,49,103.36,41.18,58,47.15
Anmolpreet Singh,103,123,17,2,19,46,119.42,44.66,80,65.04
SB Styris,126,117,10,2,12,52,92.86,41.27,52,44.44
AS Raut,107,116,8,4,12,42,108.41,39.25,56,48.28
W Jaffer,110,115,12,3,15,52,104.55,47.27,66,57.39
Aman Hakim Khan,109,115,8,6,14,55,105.5,50.46,68,59.13
DJM Short,102,115,11,5,16,48,112.75,47.06,74,64.35
AB Agarkar,102,113,10,2,12,39,110.78,38.24,52,46.02
DJ Harris,103,111,11,5,16,52,107.77,50.49,74,66.67
MJ Santner,111,110,6,6,12,54,99.1,48.65,60,54.55
Z Khan,123,101,11,1,12,67,82.11,54.47,50,49.5
CJ Ferguson,119,98,9,0,9,58,82.35,48.74,36,36.73
DJ Jacobs,101,92,10,4,14,62,91.09,61.39,64,69.57
RT Ponting,129,91,5,2,7,69,70.54,53.49,32,35.16
SK Warne,101,90,8,2,10,51,89.11,50.5,44,48.89
Mohammed Siraj,103,87,7,4,11,60,84.47,58.25,52,59.77
IR Jaggi,100,76,6,0,6,51,76.0,51.0,24,31.58
