match_id,season_id_x,team_batting,team_bowling,match_winner,result,win_by_runs,win_by_wickets,toss_winner,toss_decision,venue,city,venue_region
598011,2013,3,1419,3.0,win,41.0,,3.0,bat,"Wankhede Stadium, Mumbai",Mumbai,India
598012,2013,1,129,129.0,win,,4.0,129.0,field,"MA Chidambaram Stadium, Chennai",Chennai,India
598013,2013,6,2,6.0,win,48.0,,6.0,bat,"Eden Gardens, Kolkata",Kolkata,India
598014,2013,494,134,134.0,win,,6.0,134.0,field,"Sawai Mansingh Stadium, Jaipur",Jaipur,India
598017,2013,1,252,252.0,tie,,,1.0,field,"M Chinnaswamy Stadium, Bengaluru",Bangalore,India
598015,2013,1419,129,1419.0,win,24.0,,1419.0,bat,"MA Chidambaram Stadium, Chennai",Chennai,India
598016,2013,494,6,494.0,win,4.0,,6.0,field,"PCA Stadium, Mohali",Chandigarh,India
598025,2013,1419,494,494.0,win,,7.0,494.0,field,"PCA Stadium, Mohali",Chandigarh,India
598018,2013,2,1419,2.0,win,11.0,,1419.0,field,"MCA Stadium, Pune",Pune,India
598019,2013,134,3,134.0,win,87.0,,134.0,bat,"Sawai Mansingh Stadium, Jaipur",Jaipur,India
598020,2013,129,252,129.0,win,86.0,,129.0,bat,"Arun Jaitley Stadium, New, Delhi",Delhi,India
598028,2013,494,252,494.0,win,7.0,,252.0,field,"HPCA Stadium, Dharamshala",Dharamsala,India
598021,2013,494,2,2.0,win,,5.0,494.0,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
598030,2013,129,2,129.0,win,,5.0,2.0,bat,"MA Chidambaram Stadium, Chennai",Chennai,India
598022,2013,6,129,129.0,win,,4.0,6.0,bat,"Eden Gardens, Kolkata",Kolkata,India
598023,2013,134,1,1.0,win,,7.0,1.0,field,"M Chinnaswamy Stadium, Bengaluru",Bangalore,India
598024,2013,3,252,252.0,win,,9.0,3.0,bat,"Arun Jaitley Stadium, New, Delhi",Delhi,India
598026,2013,134,129,129.0,win,,5.0,134.0,bat,"MA Chidambaram Stadium, Chennai",Chennai,India
598027,2013,1,1419,1.0,win,130.0,,1419.0,field,"M Chinnaswamy Stadium, Bengaluru",Bangalore,India
598029,2013,6,3,3.0,win,,5.0,6.0,bat,"Eden Gardens, Kolkata",Kolkata,India
598031,2013,494,6,6.0,win,,6.0,494.0,bat,"Eden Gardens, Kolkata",Kolkata,India
598032,2013,2,134,134.0,win,,8.0,2.0,bat,"Sawai Mansingh Stadium, Jaipur",Jaipur,India
598033,2013,3,1,3.0,win,58.0,,3.0,bat,"Wankhede Stadium, Mumbai",Mumbai,India
598038,2013,129,1419,129.0,win,37.0,,129.0,bat,"MCA Stadium, Pune",Pune,India
598034,2013,129,6,129.0,win,14.0,,6.0,field,"MA Chidambaram Stadium, Chennai",Chennai,India
598035,2013,252,1419,252.0,win,15.0,,1419.0,field,"Shaheed Veer Narayan Singh International Stadium, New Raipur",Raipur,India
598036,2013,1,134,134.0,win,,4.0,134.0,field,"Sawai Mansingh Stadium, Jaipur",Jaipur,India
598037,2013,3,494,3.0,win,4.0,,3.0,bat,"Wankhede Stadium, Mumbai",Mumbai,India
598040,2013,6,252,252.0,win,,7.0,6.0,bat,"Shaheed Veer Narayan Singh International Stadium, New Raipur",Raipur,India
598039,2013,3,2,2.0,win,,7.0,3.0,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
598041,2013,129,494,129.0,win,15.0,,129.0,bat,"MA Chidambaram Stadium, Chennai",Chennai,India
598044,2013,252,2,2.0,win,,6.0,252.0,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
598042,2013,1,1419,1.0,win,17.0,,1.0,bat,"MCA Stadium, Pune",Pune,India
598043,2013,134,6,6.0,win,,8.0,134.0,bat,"Eden Gardens, Kolkata",Kolkata,India
598045,2013,1,494,494.0,win,,7.0,494.0,field,"M Chinnaswamy Stadium, Bengaluru",Bangalore,India
598046,2013,3,129,3.0,win,60.0,,3.0,bat,"Wankhede Stadium, Mumbai",Mumbai,India
598047,2013,1419,134,134.0,win,,5.0,1419.0,bat,"Sawai Mansingh Stadium, Jaipur",Jaipur,India
598048,2013,2,1,1.0,win,,7.0,2.0,bat,"M Chinnaswamy Stadium, Bengaluru",Bangalore,India
598049,2013,252,134,134.0,win,,9.0,252.0,bat,"Sawai Mansingh Stadium, Jaipur",Jaipur,India
598056,2013,2,494,2.0,win,30.0,,494.0,field,"PCA Stadium, Mohali",Chandigarh,India
598050,2013,3,6,3.0,win,65.0,,3.0,bat,"Wankhede Stadium, Mumbai",Mumbai,India
598051,2013,129,2,129.0,win,77.0,,2.0,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
598052,2013,494,134,134.0,win,,8.0,134.0,field,"PCA Stadium, Mohali",Chandigarh,India
598053,2013,6,1419,6.0,win,46.0,,6.0,bat,"MCA Stadium, Pune",Pune,India
